vehicle_id,make,model,year,body_type,image_name,save_directory
toyota-camry-2005,Toyota,Camry,2005,sedan,toyota-camry-2005-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/toyota/camry/2005/
toyota-camry-2012,Toyota,Camry,2012,sedan,toyota-camry-2012-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/toyota/camry/2012/
toyota-corolla-2018,Toyota,Corolla,2018,sedan,toyota-corolla-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/toyota/corolla/2018/
toyota-axio-2018,Toyota,Axio,2018,sedan,toyota-axio-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/toyota/axio/2018/
toyota-axio-2019,Toyota,Axio,2019,sedan,toyota-axio-2019-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/toyota/axio/2019/
toyota-vitz-2015,Toyota,Vitz / Yaris,2015,hatchback,toyota-vitz-2015-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/toyota/vitz-yaris/2015/
toyota-noah-2014,Toyota,Noah / Voxy,2014,mpv,toyota-noah-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/toyota/noah/2014/
toyota-noah-2018,Toyota,Noah / Voxy,2018,mpv,toyota-noah-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/toyota/noah/2018/
toyota-prado-2016,Toyota,Prado,2016,suv,toyota-prado-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/toyota/prado/2016/
toyota-prado-2020,Toyota,Prado,2020,suv,toyota-prado-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/toyota/prado/2020/
toyota-hilux-2015,Toyota,Hilux,2015,pickup,toyota-hilux-2015-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/toyota/hilux/2015/
toyota-hilux-2020,Toyota,Hilux,2020,pickup,toyota-hilux-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/toyota/hilux/2020/
honda-cr-v-2016,Honda,CR-V,2016,suv,honda-cr-v-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/cr-v/2016/
honda-cr-v-2020,Honda,CR-V,2020,suv,honda-cr-v-2020-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/cr-v/2020/
honda-accord-2014,Honda,Accord,2014,sedan,honda-accord-2014-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/honda/accord/2014/
mazda-demio-2017,Mazda,Demio / Mazda 2,2017,hatchback,mazda-demio-2017-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mazda/demio/2017/
nissan-x-trail-2015,Nissan,X-Trail,2015,suv,nissan-x-trail-2015-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/nissan/x-trail/2015/
mercedes-c-class-2016,Mercedes-Benz,C-Class,2016,sedan,mercedes-c-class-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/c-class/2016/
mercedes-e-class-2017,Mercedes-Benz,E-Class,2017,sedan,mercedes-e-class-2017-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/e-class/2017/
mercedes-g-wagon-2022,Mercedes-Benz,G-Wagon,2022,suv,mercedes-g-wagon-2022-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/mercedes-benz/g-wagon/2022/
lexus-rx-2017,Lexus,RX,2017,suv,lexus-rx-2017-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/rx/2017/
lexus-es-2016,Lexus,ES,2016,sedan,lexus-es-2016-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/lexus/es/2016/
hyundai-elantra-2018,Hyundai,Elantra,2018,sedan,hyundai-elantra-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/hyundai/elantra/2018/
kia-sportage-2017,Kia,Sportage,2017,suv,kia-sportage-2017-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/kia/sportage/2017/
ford-ranger-2018,Ford,Ranger,2018,pickup,ford-ranger-2018-hero.jpg,C:/Users/Oza/Documents/afrotools/assets/img/cars/ford/ranger/2018/
